"WBIC","lakename","max_depth","max_vol","lower_depth","lower_vol","vol_pcnt_loss"
2165400,"long",15,214.904038758731,14,190.697837638612,11.2637255492879
2478200,"long",17,2996.87777044294,16,2740.27845168082,8.56222169929204
2483100,"long",31,733.632180617889,30,689.265179556889,6.04758109487954
1407000,"lost",23,514.652305023352,22,476.203978436732,7.47073824625646
1593400,"lost",20,6224.79505368354,19,5710.28519841364,8.26549068415413
2166600,"lost",25,253.466322450379,24,235.327366730316,7.15635731986199
2339800,"lostcanoe",41,6114.85238602242,40,5858.12782935137,4.19837700837851
2317600,"lowarsugarbush",61,4178.91452133329,60,4012.31134724833,3.98675716467654
2479900,"lowerpine",102,3671.16280416487,101,3578.65878523113,2.51974711741999
1544700,"madeline",17,1522.66733284768,16,1357.66322848282,10.8365169991704
2480800,"mallard",35,1436.8895668552,34,1342.01984559951,6.60243650201505
1678200,"marinuka",7,371.60781207615,6,279.0336711708,24.9117854622442
2171200,"marshmiller",14,3113.57159053588,13,2705.51210495402,13.1058327620349
1003900,"mcgrath",20,505.987105478175,19,459.927566284763,9.10290770154798
2481600,"mclain",30,1525.35019974439,29,1387.58983757451,9.03139241027832
1587600,"mcnaughton",9,476.384920848869,8,373.710731312161,21.552779074903
2424800,"meadow",5,82.2090181631115,4,65.7672145304892,20
2317700,"middlesugarbush",57,3756.98738694135,56,3534.0463455905,5.9340375250063
2482900,"minnow",50,1593.09511954385,49,1537.82468174581,3.46937462302088
1005400,"mission",26,1294.94998669704,25,1194.4768884839,7.75884005137583
1005700,"moccasin",30,1352.11403643673,29,1260.08752783262,6.80612035110828
2103200,"montanis",14,1720.32622741284,13,1520.22565164648,11.6315482829839
1544000,"mud",26,528.463171933311,25,490.35932577483,7.2103125027774
2094600,"mud",15,1796.59665477494,14,1515.07148765044,15.6699149125246
2110900,"murphydamflowage",10,923.0662288373,9,791.151189429768,14.2909615026967
1555500,"muskellunge",20,1770.92392465392,19,1641.70535869257,7.2966751514523
1596600,"muskellunge",19,2496.05453454229,18,2240.23228203674,10.2490650330468
2405900,"muskellunge",8,117.905550491806,7,97.863976342038,16.9979903966955
1869700,"nebish",52,1637.29516089467,51,1546.69865535426,5.53330320056068
2486100,"nicaboyne",34,3417.5316288095,33,3140.24358668044,8.11369351468598
2436000,"north",30,1789.82702981121,29,1664.45367661776,7.00477482489909
2323800,"northplacidtown",23,276.780431485297,22,245.476448249624,11.310042067528
2310400,"northturtle",58,7235.83442929734,57,6899.93556307089,4.64215799170889
2485900,"northtwin",20,683.722909910568,19,592.722070595508,13.3096080292181
2178100,"oliver",31,248.077432266566,30,233.933671916961,5.70134905879195
1518200,"oneida",34,3381.8745091224,33,3146.76091147236,6.95216800670288
1872100,"pallette",60,5743.50483687295,59,5572.63624627633,2.97498819013181
1009400,"paradise",48,1578.10586290286,47,1503.49678052974,4.72776156067799
1872700,"payment",18,537.816572121858,17,482.204407528306,10.340359051069
1481600,"pesobic",11,944.613667528325,10,804.476002068388,14.83544757791
1558400,"pickerel",14,324.750916533781,13,283.192516311278,12.7970078317486
1619700,"pickerel",26,3263.20199383849,25,3010.19828932035,7.75323455292837
2458900,"pickerel",43,206.227829228914,42,193.252097153035,6.29194038670482
2489200,"pickerel",38,1048.13338294927,37,966.111913967689,7.82548006922422
1529700,"pier",15,1736.38296615341,14,1516.91928238778,12.6391290425873
2157900,"pike",37,2339.49097512985,36,2161.14010960483,7.62349021308417
2299900,"pike",80,6647.56415588166,79,6445.11698625674,3.04543385934528
1012000,"pine",21,873.513876211053,20,775.933759525169,11.1709864426135
1581700,"pine",32,3253.43647321527,31,3040.06367691836,6.55838213081942
2309700,"pine",21,1814.42306929077,20,1647.11647985822,9.22092494656966
1623400,"pioneer",27,5155.51041252314,26,4748.56757104695,7.89335698920701
2436500,"placid",30,1279.13767151721,29,1127.93613131858,11.820583785894
1012500,"plainfield",12,220.684277722493,11,194.536559618001,11.8484734727559
2098000,"poskin",30,2646.40309625383,29,2498.4538605017,5.59057824416687
2355300,"potato",24,5326.82917550069,23,4844.80263714344,9.0490331579281
2234600,"price",27,1288.22058590001,26,1203.06449399296,6.61036571213846
2426300,"redike",11,257.136452680024,10,220.938025831617,14.0775166146712
1280400,"redstone",10,4224.72588212639,9,3685.79438293317,12.7566027768401
2263400,"riley",5,613.297589128077,4,490.638071302462,20
1506200,"road",33,1371.30868432715,32,1297.67798915369,5.36937423462646
2139000,"rockdamlake",10,399.894199482473,9,323.664457586689,19.0624775239146
1878200,"round",5,334.75622980738,4,250.304315668218,25.2278842391541
2169200,"round",18,2192.65900423665,17,1984.0709355559,9.51301904572105
1764500,"sackett",32,830.998822346629,31,771.76331255538,7.12823029327237
2254800,"sailor",7,758.642769032694,6,605.56538119896,20.1777956743613
1879700,"sallisbury",16,555.772223305885,15,482.396746015545,13.2024369361036
1880000,"sand",13,106.468422165823,12,93.6112111507325,12.0760792294504
1576100,"shepard",18,1620.45643705005,17,1458.34542780295,10.0040337734849
1736200,"sherwood",8,360.282148150275,7,273.452638214028,24.1004197354874
1017400,"silver",39,1243.1601731109,38,1168.97073557202,5.96781003313673
1599800,"silver",19,481.686954231448,18,427.097678563417,11.3329362957588
2294500,"six",15,845.490444779365,14,716.21129424383,15.2904330656594
