"WBIC","lake","depth_feet","area_acres","volume_acre_ft"
2079000,"bigmoon",45,169.845227047851,3918.26107890603
2079000,"bigmoon",43,144.701947666977,3603.7139041912
2079000,"bigmoon",38,134.84172810909,2904.85471475104
2079000,"bigmoon",33,124.573860558861,2256.31574308116
2079000,"bigmoon",28,110.409027797436,1668.85852219042
2079000,"bigmoon",23,96.980953334097,1150.38356936158
2079000,"bigmoon",18,84.039064549698,697.833524652096
2079000,"bigmoon",13,67.041265235988,320.132700187881
2079000,"bigmoon",8,23.316343195011,94.2386791103835
2079000,"bigmoon",3,8.986955280714,13.480432921071
2079000,"bigmoon",0,0,0
2419000,"bigole",30,87.53011287,1285.38408400159
2419000,"bigole",25,77.5070396452563,872.791202713453
2419000,"bigole",20,61.9047970261788,524.261611034865
2419000,"bigole",15,40.8783133125474,267.30383518805
2419000,"bigole",10,21.978811341657,110.161023552538
2419000,"bigole",5,9.5110220644542,31.4364400372605
2419000,"bigole",0,3.06355395045,0
1374800,"bigrocheacri",20,216.5113271,2163.53273831217
1374800,"bigrocheacri",15,193.695363450202,1138.01601193666
1374800,"bigrocheacri",10,101.569793769152,399.85311888828
1374800,"bigrocheacri",5,29.18572689308,72.9643172327
1374800,"bigrocheacri",0,0,0
1602600,"bigsand",56,1427.485345,21585.6910947106
1602600,"bigsand",51,1119.36263328175,15218.5711490062
1602600,"bigsand",46,795.3662845271,10431.7488544841
1602600,"bigsand",41,640.95519475845,6840.94515627023
1602600,"bigsand",36,526.3994958222,3922.5584298186
1602600,"bigsand",26,104.53475181435,767.88719163585
1602600,"bigsand",16,18.79998199365,151.21352259585
1602600,"bigsand",6,7.15170157845,21.45510473535
1602600,"bigsand",0,0,0
1835500,"bills",25,70.17232018,868.733186115222
1835500,"bills",20,59.1562356932049,545.411796432209
1835500,"bills",15,42.9944801576958,290.035006804958
1835500,"bills",10,25.724904098691,118.236546163991
1835500,"bills",5,10.5639833147465,27.514327630397
1835500,"bills",0,0.441747737412333,0
1523800,"birch",27,197.5104327,2569.51296176281
1523800,"birch",22,154.121340844464,1690.43352790165
1523800,"birch",17,118.073711772387,1009.94589635953
1523800,"birch",12,86.580673278372,498.309933732629
1523800,"birch",7,52.994024197737,149.373190042356
1523800,"birch",2,4.825179870861,4.825179870861
1523800,"birch",0,0,0
2113000,"birch",73,364.0121439,9046.68642876425
2113000,"birch",68,298.540919698146,7390.30376976889
2113000,"birch",63,244.259428799778,6033.30289852407
2113000,"birch",53,182.089794743097,3901.5567808097
2113000,"birch",43,140.18107661589,2290.20242401476
2113000,"birch",33,84.214209491265,1168.22599347899
2113000,"birch",23,53.54618636769,479.424014184214
2113000,"birch",13,19.591133584698,113.737414422274
2113000,"birch",3,2.427960999813,3.6419414997195
2113000,"birch",0,0,0
2453500,"birchisland",13,768.0462397,4316.55427520595
2453500,"birchisland",10,653.015954380131,2184.96098408575
2453500,"birchisland",8,427.586702565784,1104.35832713984
2453500,"birchisland",3,8.847892681344,13.271839022016
2453500,"birchisland",0,0,0
2454100,"bluegill",68,20.0919168,506.05410384576
2454100,"bluegill",63,17.66481325056,411.66227871936
2454100,"bluegill",58,15.14327769216,329.64205136256
2454100,"bluegill",53,12.18373834752,261.32451126336
2454100,"bluegill",48,9.812088488448,206.33494417344
2454100,"bluegill",43,7.907575694976,162.03578371488
2454100,"bluegill",38,6.53288674752,125.93462760864
2454100,"bluegill",33,5.23796270976,96.50750396544
2454100,"bluegill",28,4.540371358464,72.06166879488
2454100,"bluegill",23,3.681040076928,51.5081402064
2454100,"bluegill",18,2.851645751424,35.17642563552
2454100,"bluegill",13,2.480748967296,21.84543883872
2454100,"bluegill",8,2.068663753728,10.47190703616
2454100,"bluegill",3,1.32506191296,1.98759286944
2454100,"bluegill",0,0,0
2356800,"bog",9,38.17352988,216.179075611853
2356800,"bog",6,33.7323953412399,108.320187779993
2356800,"bog",4,24.8625974795844,49.7251949591688
2356800,"bog",0,0,0
1619100,"boot",15,285.8222182,2578.80381059877
1619100,"boot",12,258.0974630346,1762.92428874687
1619100,"boot",10,233.582491379586,1271.24433433268
1619100,"boot",5,137.457621176744,343.64405294186
1619100,"boot",0,0,0
1836600,"boot",20,31.33390315,260.139744709606
1836600,"boot",15,21.0116353770522,129.275898391976
1836600,"boot",10,10.6265742741884,50.1803742638741
1836600,"boot",5,4.50421840326377,12.3533925702436
1836600,"boot",0,0.437138624833684,0
1836700,"boot",44,87.84146043,1495.37349370313
1836700,"boot",41,77.1177749407056,1247.93464064707
1836700,"boot",39,64.03642465347,1106.78044105289
1836700,"boot",34,54.2359529132949,811.09949713598
1836700,"boot",29,43.9128244835613,565.72755364384
1836700,"boot",24,33.5440184944041,372.085446198926
1836700,"boot",19,26.6467070214405,221.608632409315
1836700,"boot",14,20.5426039361598,103.635355015314
1836700,"boot",9,10.3134658690863,26.4951805021987
1836700,"boot",4,0.158114628774,0.316229257548
1836700,"boot",0,0,0
2297800,"boot",16,177.7055474,1805.34442009061
2297800,"boot",13,156.970864129368,1303.32980279655
2297800,"boot",11,139.999984352668,1006.35895431452
2297800,"boot",6,110.214757552954,380.822099550463
2297800,"boot",1,35.095068556026,17.547534278013
2297800,"boot",0,0,0
1537800,"booth",34,204.1477817,3301.71269560135
1537800,"booth",29,183.520689837032,2332.54151675877
1537800,"booth",24,155.832126205061,1484.15947665354
1537800,"booth",19,118.275058805712,798.89151412661
